animal,trial,observation,TPoI-1,TPoI-2,TPoI-3,TPoI-4
animal1,1,obs,860.05,868.05,863.076,865.763
animal1,2,obs,974.951,982.951,980.236,982.85
animal1,3,obs,1046.651,1054.651,1049.961,
animal1,4,obs,1122.6,1130.6,1125.051,1133.4
animal1,5,obs,1246.6,1254.6,1253.241,1254.95
animal1,6,obs,1353.65,1361.65,1359.647,1362.8
animal1,7,obs,1437.65,1445.65,1439.511,
animal2,1,obs,874.951,882.951,,
animal2,2,obs,935.151,943.151,,
animal2,3,obs,1012.5,1020.5,1016.407,1017.101
animal2,4,obs,1098.602,1106.602,1105.318,
animal2,5,obs,1185.882,1193.882,1187.399,
animal2,6,obs,1250.803,1258.803,,
animal2,7,obs,1335.654,1343.654,,
